Model,MSE,R2
Simple LR,149085057.03839505,0.03970193117941878
Multiple LR,33596915.85136145,0.7835929767120724
Ridge,33645037.09177902,0.7832830144988215
Lasso,33605507.55392852,0.7835376351805539
